classifier_name,dataset_name,accuracy
PMX,gr21,1
PMX,fri26,1
PMX,bayg29,1
PMX,dantzig42,0.946745562
PMX,eil51,0.92702994
PMX,berlin52,0.903126666
PMX,pr76,0.864432246
PMX,lin105,0.821885092
PMX,pr226,0.700630581
PMX,a280,0.655878266
PMX,att532,0.563042418
CX,gr21,1
CX,fri26,1
CX,bayg29,0.988768397
CX,dantzig42,0.907790927
CX,eil51,0.846575771
CX,berlin52,0.832834168
CX,pr76,0.747599555
CX,lin105,0.716935976
CX,pr226,0.551618956
CX,a280,0.495257579
CX,att532,0.385384462
OX1,gr21,1
OX1,fri26,1
OX1,bayg29,1
OX1,dantzig42,0.973865878
OX1,eil51,0.871448332
OX1,berlin52,0.884268574
OX1,pr76,0.81566061
OX1,lin105,0.772185352
OX1,pr226,0.643790833
OX1,a280,0.592366077
OX1,att532,0.558847719
OX2,gr21,1
OX2,fri26,1
OX2,bayg29,0.996127033
OX2,dantzig42,0.963510848
OX2,eil51,0.940676337
OX2,berlin52,0.900425258
OX2,pr76,0.882133315
OX2,lin105,0.812428235
OX2,pr226,0.657754456
OX2,a280,0.579554212
OX2,att532,0.460949153
POS,gr21,1
POS,fri26,1
POS,bayg29,1
POS,dantzig42,0.985700197
POS,eil51,0.939410369
POS,berlin52,0.944775652
POS,pr76,0.842673692
POS,lin105,0.832080073
POS,pr226,0.686789185
POS,a280,0.58867598
POS,att532,0.476287266
MPX,gr21,0.984650806
MPX,fri26,0.941637011
MPX,bayg29,0.898528273
MPX,dantzig42,0.904832347
MPX,eil51,0.824533023
MPX,berlin52,0.852105312
MPX,pr76,0.786650163
MPX,lin105,0.791594299
MPX,pr226,0.689817807
MPX,a280,0.637466742
MPX,att532,0.574327095
ERX,gr21,0.962650294
ERX,fri26,0.835587189
ERX,bayg29,0.857474826
ERX,dantzig42,0.705621302
ERX,eil51,0.599013742
ERX,berlin52,0.651044812
ERX,pr76,0.464831019
ERX,lin105,0.420780043
ERX,pr226,0.255896426
ERX,a280,0.227188757
ERX,att532,0.176866261
EPMX,gr21,1
EPMX,fri26,0.97366548
EPMX,bayg29,0.996901627
EPMX,dantzig42,0.921597633
EPMX,eil51,0.87873696
EPMX,berlin52,0.90893477
EPMX,pr76,0.829064386
EPMX,lin105,0.774931875
EPMX,pr226,0.666193462
EPMX,a280,0.622551599
EPMX,att532,0.513165338
GX,gr21,0.98695
GX,fri26,1
GX,bayg29,0.91634
GX,dantzig42,1
GX,eil51,0.64906
GX,berlin52,0.7123244
GX,pr76,0.927366022
GX,lin105,0.749013
GX,pr226,0.9685657
GX,a280,0.948243828
GX,att532,0.487740006
IGX,gr21,1
IGX,fri26,1
IGX,bayg29,0.996127033
IGX,dantzig42,0.999506903
IGX,eil51,0.992981321
IGX,berlin52,0.99963819
IGX,pr76,0.991900815
IGX,lin105,0.99807914
IGX,pr226,0.999561004
IGX,a280,0.997943083
IGX,att532,0.957261182
SCX,gr21,1
SCX,fri26,1
SCX,bayg29,0.982958947
SCX,dantzig42,0.986686391
SCX,eil51,0.970836178
SCX,berlin52,0.974787208
SCX,pr76,0.965560399
SCX,lin105,0.978078931
SCX,pr226,0.990363045
SCX,a280,0.977301609
SCX,att532,0.942728481
