classifier_name,dataset_name,accuracy
DM,br17,1
DM,ftv33,0.750664137
DM,ftv35,0.695067265
DM,ftv38,0.670472566
DM,p43,0.987195903
DM,ftv44,0.637918029
DM,ftv47,0.606958474
DM,ry48p,0.69763793
DM,ft53,0.653864087
DM,ftv55,0.587168487
DM,ftv64,0.515851521
DM,ft70,0.526021519
DM,ftv70,0.538332869
DM,kro124p,0.521312879
DM,ftv170,0.361075892
DM,rbg323,0.299442299
DM,rbg358,0.283124887
DM,rbg403,0.31294964
DM,rbg443,0.302225547
IM,br17,1
IM,ftv33,0.803036053
IM,ftv35,0.779234219
IM,ftv38,0.791309864
IM,p43,0.990610329
IM,ftv44,0.728941413
IM,ftv47,0.755555556
IM,ry48p,0.836766132
IM,ft53,0.71663364
IM,ftv55,0.682917317
IM,ftv64,0.641389199
IM,ft70,0.637909177
IM,ftv70,0.630471146
IM,kro124p,0.607863004
IM,ftv170,0.474687557
IM,rbg323,0.45002145
IM,rbg358,0.447888345
IM,rbg403,0.478017586
IM,rbg443,0.472414438
INVM,br17,1
INVM,ftv33,0.626944972
INVM,ftv35,0.591928251
INVM,ftv38,0.615287028
INVM,p43,0.986513017
INVM,ftv44,0.594920795
INVM,ftv47,0.554882155
INVM,ry48p,0.708592457
INVM,ft53,0.577514862
INVM,ftv55,0.513455538
INVM,ftv64,0.447028835
INVM,ft70,0.439131424
INVM,ftv70,0.443685531
INVM,kro124p,0.498715662
INVM,ftv170,0.304700235
INVM,rbg323,0.183183183
INVM,rbg358,0.172738807
INVM,rbg403,0.186450839
INVM,rbg443,0.206096877
SM,br17,1
SM,ftv33,0.920303605
SM,ftv35,0.879268713
SM,ftv38,0.888043134
SM,p43,0.996670935
SM,ftv44,0.826250943
SM,ftv47,0.795510662
SM,ry48p,0.886974382
SM,ft53,0.801375452
SM,ftv55,0.804407176
SM,ftv64,0.755934364
SM,ft70,0.66745766
SM,ftv70,0.684834123
SM,kro124p,0.639158045
SM,ftv170,0.509644992
SM,rbg323,0.453453453
SM,rbg358,0.427224941
SM,rbg403,0.445243805
SM,rbg443,0.426968393
SIM,br17,1
SIM,ftv33,0.922960152
SIM,ftv35,0.871334943
SIM,ftv38,0.863621947
SIM,p43,0.998975672
SIM,ftv44,0.813175761
SIM,ftv47,0.83681257
SIM,ry48p,0.956752439
SIM,ft53,0.793740529
SIM,ftv55,0.772425897
SIM,ftv64,0.737135574
SIM,ft70,0.704320125
SIM,ftv70,0.760384723
SIM,kro124p,0.728726365
SIM,ftv170,0.516029705
SIM,rbg323,0.418704419
SIM,rbg358,0.405473989
SIM,rbg403,0.435851319
SIM,rbg443,0.436319431
SWPM,br17,1
SWPM,ftv33,0.843643264
SWPM,ftv35,0.850638151
SWPM,ftv38,0.817316841
SWPM,p43,0.991805378
SWPM,ftv44,0.815187327
SWPM,ftv47,0.763636364
SWPM,ry48p,0.863096936
SWPM,ft53,0.754749971
SWPM,ftv55,0.751950078
SWPM,ftv64,0.745101163
SWPM,ft70,0.712804343
SWPM,ftv70,0.746166713
SWPM,kro124p,0.740699251
SWPM,ftv170,0.627377287
SWPM,rbg323,0.660875161
SWPM,rbg358,0.6479971
SWPM,rbg403,0.674060751
SWPM,rbg443,0.640172059
