classifier_name,dataset_name,accuracy
TS,br17,1
TS,ftv33,0.889943074003795
TS,ftv35,0.876164194549845
TS,ftv38,0.892166190929274
TS,p43,0.995988049509176
TS,ftv44,0.840583354287151
TS,ftv47,0.798204264870932
TS,ry48p,0.878986706224682
TS,ft53,0.823347709523254
TS,ftv55,0.77320592823713
TS,ftv64,0.743826668790824
TS,ft70,0.714949777329909
TS,ftv70,0.737803178143295
TS,kro124p,0.703189439885837
TS,ftv170,0.542021372939685
TS,rbg323,0.474259974259974
TS,rbg358,0.463114011237992
TS,rbg403,0.480415667466027
TS,rbg443,0.432391995511502
FPS,br17,1
FPS,ftv33,0.844022770398482
FPS,ftv35,0.85995170748534
FPS,ftv38,0.838249286393911
FPS,p43,0.993085787451985
FPS,ftv44,0.773447322102087
FPS,ftv47,0.785634118967452
FPS,ry48p,0.857191761282593
FPS,ft53,0.780860240121226
FPS,ftv55,0.718603744149766
FPS,ftv64,0.705751155010355
FPS,ft70,0.687579234795046
FPS,ftv70,0.673822135489267
FPS,kro124p,0.647135212272565
FPS,ftv170,0.475004528165187
FPS,rbg323,0.387601887601888
FPS,rbg358,0.37321007794091
FPS,rbg403,0.400279776179057
FPS,rbg443,0.377407892276043
LRS,br17,1
LRS,ftv33,0.847438330170778
LRS,ftv35,0.888237323214902
LRS,ftv38,0.828734538534729
LRS,p43,0.993427230046948
LRS,ftv44,0.757103344229319
LRS,ftv47,0.781818181818182
LRS,ry48p,0.824927255092144
LRS,ft53,0.763259121109686
LRS,ftv55,0.715873634945398
LRS,ftv64,0.673570176836068
LRS,ft70,0.641517407274973
LRS,ftv70,0.672706997490939
LRS,kro124p,0.614099179450589
LRS,ftv170,0.439503713095454
LRS,rbg323,0.355855855855856
LRS,rbg358,0.338952329164401
LRS,rbg403,0.374500399680256
LRS,rbg443,0.339629698896578
ERS,br17,1
ERS,ftv33,0.846299810246679
ERS,ftv35,0.866160745084512
ERS,ftv38,0.836346336822074
ERS,p43,0.992402902262057
ERS,ftv44,0.761629368871008
ERS,ftv47,0.781144781144781
ERS,ry48p,0.835453871170195
ERS,ft53,0.740354353654272
ERS,ftv55,0.735959438377535
ERS,ftv64,0.661781105623706
ERS,ft70,0.641549913857556
ERS,ftv70,0.673264566490103
ERS,kro124p,0.652550838387442
ERS,ftv170,0.416500633943126
ERS,rbg323,0.365293865293865
ERS,rbg358,0.344752582925503
ERS,rbg403,0.389888089528377
ERS,rbg443,0.348232653824575
SRS,br17,1
SRS,ftv33,0.867552182163188
SRS,ftv35,0.869610210417385
SRS,ftv38,0.838883602917856
SRS,p43,0.996585574050363
SRS,ftv44,0.78124214231833
SRS,ftv47,0.791021324354658
SRS,ry48p,0.845581103440406
SRS,ft53,0.78464856043828
SRS,ftv55,0.732254290171607
SRS,ftv64,0.709574637565716
SRS,ft70,0.721548613594253
SRS,ftv70,0.683997769724003
SRS,kro124p,0.653150196218337
SRS,ftv170,0.48804564390509
SRS,rbg323,0.42020592020592
SRS,rbg358,0.389342033713975
SRS,rbg403,0.418665067945644
SRS,rbg443,0.395361885169254
EEBS (Proposed),br17,1
EEBS (Proposed),ftv33,0.881593927893738
EEBS (Proposed),ftv35,0.869955156950673
EEBS (Proposed),ftv38,0.853155724706629
EEBS (Proposed),p43,0.996500213401622
EEBS (Proposed),ftv44,0.859190344480764
EEBS (Proposed),ftv47,0.838383838383838
EEBS (Proposed),ry48p,0.87097050265305
EEBS (Proposed),ft53,0.834770952325446
EEBS (Proposed),ftv55,0.807917316692668
EEBS (Proposed),ftv64,0.757049545961447
EEBS (Proposed),ft70,0.734648766375191
EEBS (Proposed),ftv70,0.730136604404795
EEBS (Proposed),kro124p,0.70247591865858
EEBS (Proposed),ftv170,0.549900380365876
EEBS (Proposed),rbg323,0.478120978120978
EEBS (Proposed),rbg358,0.468189233278956
EEBS (Proposed),rbg403,0.468425259792166
EEBS (Proposed),rbg443,0.435945389938283
NTS,br17,1
NTS,ftv33,0.875901328273245
NTS,ftv35,0.888582269748189
NTS,ftv38,0.856327307326356
NTS,p43,0.995731967562953
NTS,ftv44,0.773950213728941
NTS,ftv47,0.784062850729517
NTS,ry48p,0.852712957151823
NTS,ft53,0.778936939037184
NTS,ftv55,0.758385335413417
NTS,ftv64,0.688545483511231
NTS,ft70,0.677599713942073
NTS,ftv70,0.686088653470867
NTS,kro124p,0.666685693899393
NTS,ftv170,0.492890780655678
NTS,rbg323,0.402831402831403
NTS,rbg358,0.389160775783941
NTS,rbg403,0.390687450039968
NTS,rbg443,0.379839162146998
