classifier_name,dataset_name,accuracy
TS,br17,1
TS,ftv33,0.961290322580645
TS,ftv35,0.935839944808555
TS,ftv38,0.915953060577228
TS,p43,0.997439180537772
TS,ftv44,0.886849383957757
TS,ftv47,0.879685746352413
TS,ry48p,0.919010669253152
TS,ft53,0.896782841823056
TS,ftv55,0.867979719188767
TS,ftv64,0.8201370081249
TS,ft70,0.784318824561974
TS,ftv70,0.826177864510733
TS,kro124p,0.820085622547271
TS,ftv170,0.676145625792429
TS,rbg323,0.659159159159159
TS,rbg358,0.633677723400399
TS,rbg403,0.651878497202238
TS,rbg443,0.624275294557696
FPS,br17,1
FPS,ftv33,0.980645161290323
FPS,ftv35,0.966885132804415
FPS,ftv38,0.931810973675864
FPS,p43,0.998975672215109
FPS,ftv44,0.929092280613528
FPS,ftv47,0.918967452300786
FPS,ry48p,0.947281337365208
FPS,ft53,0.900920853246299
FPS,ftv55,0.87207488299532
FPS,ftv64,0.86442568105783
FPS,ft70,0.820661183889738
FPS,ftv70,0.858377474212434
FPS,kro124p,0.834784159828755
FPS,ftv170,0.707118275674697
FPS,rbg323,0.645431145431145
FPS,rbg358,0.632046402030089
FPS,rbg403,0.642685851318945
FPS,rbg443,0.638114830746213
LRS,br17,1
LRS,ftv33,0.942314990512334
LRS,ftv35,0.972404277337013
LRS,ftv38,0.960038058991437
LRS,p43,0.99906103286385
LRS,ftv44,0.915011315061604
LRS,ftv47,0.91043771043771
LRS,ry48p,0.958635248473783
LRS,ft53,0.911295022729922
LRS,ftv55,0.87109984399376
LRS,ftv64,0.825234984865381
LRS,ft70,0.80996651821994
LRS,ftv70,0.82115974351826
LRS,kro124p,0.799215126650018
LRS,ftv170,0.636207208838979
LRS,rbg323,0.592664092664093
LRS,rbg358,0.562624614826899
LRS,rbg403,0.57414068745004
LRS,rbg443,0.555825696652328
ERS,br17,1
ERS,ftv33,0.971537001897533
ERS,ftv35,0.938254570541566
ERS,ftv38,0.968284173802728
ERS,p43,0.998719590268886
ERS,ftv44,0.907970832285642
ERS,ftv47,0.909090909090909
ERS,ry48p,0.951503394762367
ERS,ft53,0.890779811166803
ERS,ftv55,0.867199687987519
ERS,ftv64,0.845786203600446
ERS,ft70,0.792542989955466
ERS,ftv70,0.820880959018679
ERS,kro124p,0.781505529789511
ERS,ftv170,0.605823220431081
ERS,rbg323,0.54032604032604
ERS,rbg358,0.511147362697118
ERS,rbg403,0.517186250999201
ERS,rbg443,0.505704133158781
SRS,br17,1
SRS,ftv33,0.964326376
SRS,ftv35,0.972404277
SRS,ftv38,0.972407231
SRS,p43,0.999146394
SRS,ftv44,0.945436258
SRS,ftv47,0.93647587
SRS,ry48p,0.967906658
SRS,ft53,0.9193962
SRS,ftv55,0.926287051
SRS,ftv64,0.923211725
SRS,ft70,0.845626239
SRS,ftv70,0.883468079
SRS,kro124p,0.846336068
SRS,ftv170,0.728581779
SRS,rbg323,0.67953668
SRS,rbg358,0.66376654
SRS,rbg403,0.661270983
SRS,rbg443,0.659435197
EEBS (Proposed),br17,1
EEBS (Proposed),ftv33,0.970398482
EEBS (Proposed),ftv35,0.970679545
EEBS (Proposed),ftv38,0.96162385
EEBS (Proposed),p43,0.999487836
EEBS (Proposed),ftv44,0.969072165
EEBS (Proposed),ftv47,0.930190797
EEBS (Proposed),ry48p,0.950961374
EEBS (Proposed),ft53,0.955530948
EEBS (Proposed),ftv55,0.903276131
EEBS (Proposed),ftv64,0.901067389
EEBS (Proposed),ft70,0.856971037
EEBS (Proposed),ftv70,0.905073878
EEBS (Proposed),kro124p,0.868826258
EEBS (Proposed),ftv170,0.749049085
EEBS (Proposed),rbg323,0.723080223
EEBS (Proposed),rbg358,0.700743158
EEBS (Proposed),rbg403,0.707833733
EEBS (Proposed),rbg443,0.679072377
NTS,br17,1
NTS,ftv33,0.95977229601518
NTS,ftv35,0.970679544670576
NTS,ftv38,0.954963526799873
NTS,p43,0.99906103286385
NTS,ftv44,0.933618305255217
NTS,ftv47,0.927721661054994
NTS,ry48p,0.952302162378045
NTS,ft53,0.882154097214128
NTS,ftv55,0.929212168486739
NTS,ftv64,0.872869205034252
NTS,ft70,0.845431199817963
NTS,ftv70,0.773188405797101
NTS,kro124p,0.839521940777738
NTS,ftv170,0.684930266256113
NTS,rbg323,0.655941655941656
NTS,rbg358,0.640021750951604
NTS,rbg403,0.650679456434852
NTS,rbg443,0.622218066205349
