classifier_name,dataset_name,accuracy
TS,gr21,1
TS,fri26,1
TS,bayg29,0.996127033307514
TS,dantzig42,0.979289940828402
TS,eil51,0.953950012889234
TS,berlin52,0.970346134623516
TS,pr76,0.924070664447067
TS,lin105,0.894078419711803
TS,pr226,0.768774053949817
TS,a280,0.706014888434507
TS,att532,0.615679060198315
FPS,gr21,1
FPS,fri26,1
FPS,bayg29,1
FPS,dantzig42,0.967455621301775
FPS,eil51,0.882100695627618
FPS,berlin52,0.877300145282305
FPS,pr76,0.793199800479617
FPS,lin105,0.765514050299579
FPS,pr226,0.656739137699918
FPS,a280,0.594636144692186
FPS,att532,0.553820231467242
LRS,gr21,0.987209004860578
LRS,fri26,0.918861209964413
LRS,bayg29,0.897366382649109
LRS,dantzig42,0.777120315581854
LRS,eil51,0.71111375172834
LRS,berlin52,0.73737122331285
LRS,pr76,0.599780578027412
LRS,lin105,0.561218165230511
LRS,pr226,0.432261696491141
LRS,a280,0.393970874557064
LRS,att532,0.340479193919534
ERS,gr21,1
ERS,fri26,0.941637010676157
ERS,bayg29,0.912470952749806
ERS,dantzig42,0.798816568047337
ERS,eil51,0.717980660431852
ERS,berlin52,0.718659843652332
ERS,pr76,0.593563574677728
ERS,lin105,0.533803003644234
ERS,pr226,0.399765830241208
ERS,a280,0.345301814089958
ERS,att532,0.288549658976314
SRS,gr21,1
SRS,fri26,1
SRS,bayg29,1
SRS,dantzig42,0.995069033530572
SRS,eil51,0.971666208723323
SRS,berlin52,0.978531512820634
SRS,pr76,0.966065570173142
SRS,lin105,0.943829108966048
SRS,pr226,0.883827710898968
SRS,a280,0.804550871546433
SRS,att532,0.661722273079685
EEBS (Proposed),gr21,1
EEBS (Proposed),fri26,1
EEBS (Proposed),bayg29,1
EEBS (Proposed),dantzig42,1
EEBS (Proposed),eil51,0.990692258943575
EEBS (Proposed),berlin52,0.980822871132
EEBS (Proposed),pr76,0.987512965190556
EEBS (Proposed),lin105,0.971512285805104
EEBS (Proposed),pr226,0.914752120051776
EEBS (Proposed),a280,0.828759312027603
EEBS (Proposed),att532,0.703390933171184
NTS,gr21,1
NTS,fri26,1
NTS,bayg29,1
NTS,dantzig42,0.954635108481262
NTS,eil51,0.888302684119085
NTS,berlin52,0.877608515672366
NTS,pr76,0.789776067298326
NTS,lin105,0.773742089327123
NTS,pr226,0.654905785632966
NTS,a280,0.594990833807242
NTS,att532,0.557866533068468
