classifier_name,dataset_name,accuracy
DC,gr21,1
DC,fri26,0.997864769
DC,bayg29,0.990317583
DC,dantzig42,0.978796844
DC,eil51,0.961818553
DC,berlin52,0.948333125
DC,pr76,0.898995659
DC,lin105,0.884328249
DC,pr226,0.79656345
DC,a280,0.735743209
DC,att532,0.636394416
FLC,gr21,1
FLC,fri26,1
FLC,bayg29,0.996127033
FLC,dantzig42,0.984714004
FLC,eil51,0.956529201
FLC,berlin52,0.955512384
FLC,pr76,0.897900341
FLC,lin105,0.899712681
FLC,pr226,0.804736302
FLC,a280,0.735863341
FLC,att532,0.643563251
EBC,gr21,1
EBC,fri26,1
EBC,bayg29,1
EBC,dantzig42,0.965483235
EBC,eil51,0.960228667
EBC,berlin52,0.942592291
EBC,pr76,0.894760899
EBC,lin105,0.875719163
EBC,pr226,0.801668696
EBC,a280,0.734676987
EBC,att532,0.645734742
AC,gr21,1
AC,fri26,1
AC,bayg29,0.990317583
AC,dantzig42,0.963510848
AC,eil51,0.957609855
AC,berlin52,0.947686299
AC,pr76,0.881168534
AC,lin105,0.871612417
AC,pr226,0.742114541
AC,a280,0.698493721
AC,att532,0.584859384
SAC,gr21,1
SAC,fri26,1
SAC,bayg29,1
SAC,dantzig42,0.977810651
SAC,eil51,0.942782229
SAC,berlin52,0.942211017
SAC,pr76,0.901564877
SAC,lin105,0.896922645
SAC,pr226,0.810536524
SAC,a280,0.737897423
SAC,att532,0.655358624
QLC,gr21,1
QLC,fri26,0.9886121
QLC,bayg29,0.99535244
QLC,dantzig42,0.975345168
QLC,eil51,0.965590874
QLC,berlin52,0.957447852
QLC,pr76,0.897076681
QLC,lin105,0.885785472
QLC,pr226,0.815023954
QLC,a280,0.744508535
QLC,att532,0.667302504
MABC,gr21,1
MABC,fri26,1
MABC,bayg29,0.99302866
MABC,dantzig42,0.967948718
MABC,eil51,0.951945383
MABC,berlin52,0.945724008
MABC,pr76,0.910591278
MABC,lin105,0.885543264
MABC,pr226,0.809705305
MABC,a280,0.745499151
MABC,att532,0.650636418
