classifier_name,dataset_name,accuracy
PMX,br17,1
PMX,ftv33,0.951043643
PMX,ftv35,0.950672646
PMX,ftv38,0.929273708
PMX,p43,0.996756295
PMX,ftv44,0.896152879
PMX,ftv47,0.898092031
PMX,ry48p,0.922120157
PMX,ft53,0.883319734
PMX,ftv55,0.877535101
PMX,ftv64,0.831926079
PMX,ft70,0.806293274
PMX,ftv70,0.824783942
PMX,kro124p,0.637952187
PMX,ftv170,0.692854555
PMX,rbg323,0.653153153
PMX,rbg358,0.634946529
PMX,rbg403,0.648681055
PMX,rbg443,0.631008042
CX,br17,1
CX,ftv33,0.944971537
CX,ftv35,0.898240773
CX,ftv38,0.883920076
CX,p43,0.993000427
CX,ftv44,0.847623837
CX,ftv47,0.834343434
CX,ry48p,0.858903406
CX,ft53,0.805979718
CX,ftv55,0.828588144
CX,ftv64,0.763581329
CX,ft70,0.718427982
CX,ftv70,0.727348759
CX,kro124p,0.577584131
CX,ftv170,0.554337982
CX,rbg323,0.448090948
CX,rbg358,0.436831611
CX,rbg403,0.45243805
CX,rbg443,0.459510006
OX1,br17,1
OX1,ftv33,1
OX1,ftv35,0.978958261
OX1,ftv38,0.947351729
OX1,p43,0.996329492
OX1,ftv44,0.91651999
OX1,ftv47,0.880359147
OX1,ry48p,0.927397729
OX1,ft53,0.834537825
OX1,ftv55,0.846528861
OX1,ftv64,0.780627688
OX1,ft70,0.757955986
OX1,ftv70,0.78686925
OX1,kro124p,0.592140114
OX1,ftv170,0.59568013
OX1,rbg323,0.576791077
OX1,rbg358,0.561355809
OX1,rbg403,0.587929656
OX1,rbg443,0.577146063
OX2,br17,1
OX2,ftv33,0.951043643
OX2,ftv35,0.939979303
OX2,ftv38,0.913732953
OX2,p43,0.996841656
OX2,ftv44,0.94116168
OX2,ftv47,0.918967452
OX2,ry48p,0.953443259
OX2,ft53,0.854003963
OX2,ftv55,0.880655226
OX2,ftv64,0.868249164
OX2,ft70,0.813867308
OX2,ftv70,0.847086702
OX2,kro124p,0.638227369
OX2,ftv170,0.614517298
OX2,rbg323,0.470827971
OX2,rbg358,0.429581294
OX2,rbg403,0.45343725
OX2,rbg443,0.445296428
POS,br17,1
POS,ftv33,0.934345351
POS,ftv35,0.976198689
POS,ftv38,0.962575325
POS,p43,0.996756295
POS,ftv44,0.914005532
POS,ftv47,0.943434343
POS,ry48p,0.965053917
POS,ft53,0.840249446
POS,ftv55,0.893135725
POS,ftv64,0.856938028
POS,ft70,0.804407893
POS,ftv70,0.857680513
POS,kro124p,0.658854555
POS,ftv170,0.675511683
POS,rbg323,0.459030459
POS,rbg358,0.451332246
POS,rbg403,0.475819345
POS,rbg443,0.459322985
MPX,br17,1
MPX,ftv33,0.906641366
MPX,ftv35,0.88858227
MPX,ftv38,0.846495401
MPX,p43,0.994963722
MPX,ftv44,0.813678652
MPX,ftv47,0.812345679
MPX,ry48p,0.861813202
MPX,ft53,0.82777713
MPX,ftv55,0.772815913
MPX,ftv64,0.758642664
MPX,ft70,0.741540162
MPX,ftv70,0.778645107
MPX,kro124p,0.611368457
MPX,ftv170,0.63294693
MPX,rbg323,0.616473616
MPX,rbg358,0.619177089
MPX,rbg403,0.653477218
MPX,rbg443,0.610996821
ERX,br17,1
ERX,ftv33,0.735863378
ERX,ftv35,0.709555019
ERX,ftv38,0.666666667
ERX,p43,0.979598805
ERX,ftv44,0.633894896
ERX,ftv47,0.56318743
ERX,ry48p,0.692103612
ERX,ft53,0.602809185
ERX,ftv55,0.531201248
ERX,ftv64,0.488131273
ERX,ft70,0.49748074
ERX,ftv70,0.533593532
ERX,kro124p,0.331840853
ERX,ftv170,0.277757653
ERX,rbg323,0.218790219
ERX,rbg358,0.195396049
ERX,rbg403,0.215627498
ERX,rbg443,0.211333458
EPMX,br17,1
EPMX,ftv33,0.921062619
EPMX,ftv35,0.968954812
EPMX,ftv38,0.933396765
EPMX,p43,0.996841656
EPMX,ftv44,0.911742519
EPMX,ftv47,0.869135802
EPMX,ry48p,0.923489473
EPMX,ft53,0.850040797
EPMX,ftv55,0.857839314
EPMX,ftv64,0.817110084
EPMX,ft70,0.79910932
EPMX,ftv70,0.785196543
EPMX,kro124p,0.629541937
EPMX,ftv170,0.670802391
EPMX,rbg323,0.608108108
EPMX,rbg358,0.599419975
EPMX,rbg403,0.606314948
EPMX,rbg443,0.58874135
GX,br17,1
GX,ftv33,0.59962
GX,ftv35,0.62194
GX,ftv38,0.65366
GX,p43,0.99377
GX,ftv44,0.59744
GX,ftv47,0.56139
GX,ry48p,0.72537
GX,ft53,0.60409
GX,ftv55,0.51053
GX,ftv64,0.4757
GX,ft70,0.478302
GX,ftv70,0.4901
GX,kro124p,0.47311
GX,ftv170,0.60619
GX,rbg323,0.0840841
GX,rbg358,0.08864
GX,rbg403,0.122102
GX,rbg443,0.087151674
IGX,br17,1
IGX,ftv33,0.988614801
IGX,ftv35,0.979648155
IGX,ftv38,0.986679353
IGX,p43,0.999402475
IGX,ftv44,0.98441036
IGX,ftv47,0.961616162
IGX,ry48p,0.993039311
IGX,ft53,0.964914326
IGX,ftv55,0.982449298
IGX,ftv64,0.982794329
IGX,ft70,0.944901343
IGX,ftv70,0.975885141
IGX,kro124p,0.784962449
IGX,ftv170,0.979306285
IGX,rbg323,0.913556414
IGX,rbg358,0.908646003
IGX,rbg403,0.814948042
IGX,rbg443,0.784552085
SCX,br17,1
SCX,ftv33,0.954459203
SCX,ftv35,0.982407727
SCX,ftv38,0.971138598
SCX,p43,0.997780623
SCX,ftv44,0.957002766
SCX,ftv47,0.959147026
SCX,ry48p,0.971700804
SCX,ft53,0.946963516
SCX,ftv55,0.96450858
SCX,ftv64,0.963995539
SCX,ft70,0.92770536
SCX,ftv70,0.965848899
SCX,kro124p,0.778277819
SCX,ftv170,0.967850027
SCX,rbg323,0.938009438
SCX,rbg358,0.924777959
SCX,rbg403,0.82773781
SCX,rbg443,0.786609314
