classifier_name,dataset_name,accuracy
DM,gr21,0.898439499
DM,fri26,0.82633452
DM,bayg29,0.814484895
DM,dantzig42,0.713510848
DM,eil51,0.64003087
DM,berlin52,0.666061709
DM,pr76,0.534001214
DM,lin105,0.535650402
DM,pr226,0.383129091
DM,a280,0.334916751
DM,att532,0.256485828
IM,gr21,0.987209005
IM,fri26,0.953024911
IM,bayg29,0.925251743
IM,dantzig42,0.856015779
IM,eil51,0.74615198
IM,berlin52,0.804897098
IM,pr76,0.690765127
IM,lin105,0.670336538
IM,pr226,0.533008331
IM,a280,0.494739081
IM,att532,0.449280016
INVM,gr21,0.942952162
INVM,fri26,0.89252669
INVM,bayg29,0.801704105
INVM,dantzig42,0.764792899
INVM,eil51,0.641661013
INVM,berlin52,0.659864908
INVM,pr76,0.542463559
INVM,lin105,0.511089109
INVM,pr226,0.36778997
INVM,a280,0.338597076
INVM,att532,0.260697874
SM,gr21,1
SM,fri26,0.9886121
SM,bayg29,0.987606507
SM,dantzig42,0.91765286
SM,eil51,0.840577979
SM,berlin52,0.888664263
SM,pr76,0.723849679
SM,lin105,0.661285722
SM,pr226,0.491878764
SM,a280,0.442888905
SM,att532,0.359958689
SIM,gr21,1
SIM,fri26,1
SIM,bayg29,1
SIM,dantzig42,0.971893491
SIM,eil51,0.959211392
SIM,berlin52,0.939703118
SIM,pr76,0.856019649
SIM,lin105,0.808048426
SIM,pr226,0.639500946
SIM,a280,0.596236573
SIM,att532,0.571232942
SWPM,gr21,0.99948836
SWPM,fri26,0.936654804
SWPM,bayg29,0.912083656
SWPM,dantzig42,0.863905325
SWPM,eil51,0.797555979
SWPM,berlin52,0.849875697
SWPM,pr76,0.761237536
SWPM,lin105,0.770639994
SWPM,pr226,0.679449315
SWPM,a280,0.644694065
SWPM,att532,0.57942829
