classifier_name,dataset_name,accuracy
TS,br17,1
TS,ftv33,1
TS,ftv35,0.974129010003449
TS,ftv38,0.989216619092927
TS,p43,0.997524541186513
TS,ftv44,0.969575056575308
TS,ftv47,0.94702581369248
TS,ry48p,0.969304501626063
TS,ft53,0.962408206084625
TS,ftv55,0.964508580343214
TS,ftv64,0.926557272582444
TS,ft70,0.845951305139291
TS,ftv70,0.894201282408698
TS,kro124p,0.894220478059222
TS,ftv170,0.689865966310451
TS,rbg323,0.660660660660661
TS,rbg358,0.637121624071053
TS,rbg403,0.645283772981615
TS,rbg443,0.631195062651954
FPS,br17,1
FPS,ftv33,0.964326375711575
FPS,ftv35,0.976543635736461
FPS,ftv38,0.949254678084364
FPS,p43,0.995049082373026
FPS,ftv44,0.902941916017098
FPS,ftv47,0.877441077441077
FPS,ry48p,0.924801734466823
FPS,ft53,0.871022263667094
FPS,ftv55,0.801482059282371
FPS,ftv64,0.792416759598534
FPS,ft70,0.762571920813965
FPS,ftv70,0.773905770839141
FPS,kro124p,0.731059579022476
FPS,ftv170,0.586714363339975
FPS,rbg323,0.582153582153582
FPS,rbg358,0.558455682436107
FPS,rbg403,0.586930455635492
FPS,rbg443,0.570413315878062
LRS,br17,1
LRS,ftv33,0.795445920303605
LRS,ftv35,0.803035529492929
LRS,ftv38,0.784332381858547
LRS,p43,0.988390951771233
LRS,ftv44,0.705054060849887
LRS,ftv47,0.697643097643098
LRS,ry48p,0.776487704684202
LRS,ft53,0.745075183587831
LRS,ftv55,0.65015600624025
LRS,ftv64,0.595029472678031
LRS,ft70,0.605792673016286
LRS,ftv70,0.621131865068302
LRS,kro124p,0.555890117731002
LRS,ftv170,0.4033236732476
LRS,rbg323,0.356499356499356
LRS,rbg358,0.352184158056915
LRS,rbg403,0.404076738609113
LRS,rbg443,0.360763044697961
ERS,br17,1
ERS,ftv33,0.813662239089184
ERS,ftv35,0.841324594687823
ERS,ftv38,0.774500475737393
ERS,p43,0.990610328638498
ERS,ftv44,0.694996228312799
ERS,ftv47,0.6668911335578
ERS,ry48p,0.765818451531922
ERS,ft53,0.657710688891479
ERS,ftv55,0.633385335413416
ERS,ftv64,0.569061653656205
ERS,ft70,0.546273120306862
ERS,ftv70,0.555199330917201
ERS,kro124p,0.526785586871209
ERS,ftv170,0.357860894765441
ERS,rbg323,0.31038181038181
ERS,rbg358,0.305600870038064
ERS,rbg403,0.339928057553957
ERS,rbg443,0.322423789040584
SRS,br17,1
SRS,ftv33,1
SRS,ftv35,0.993790962400828
SRS,ftv38,0.986996511259118
SRS,p43,0.999743918053777
SRS,ftv44,0.988684938395776
SRS,ftv47,0.982491582491583
SRS,ry48p,0.986078621555315
SRS,ft53,0.983389672455997
SRS,ftv55,0.989664586583463
SRS,ftv64,0.984387446232277
SRS,ft70,0.944901342521861
SRS,ftv70,0.9831335377753
SRS,kro124p,0.935262219051017
SRS,ftv170,0.825575076978808
SRS,rbg323,0.738738738738739
SRS,rbg358,0.717600145006344
SRS,rbg403,0.704236610711431
SRS,rbg443,0.686740228165326
EEBS (Proposed),br17,1
EEBS (Proposed),ftv33,0.983681214421252
EEBS (Proposed),ftv35,0.994135908934115
EEBS (Proposed),ftv38,0.991436726926736
EEBS (Proposed),p43,0.999914639351259
EEBS (Proposed),ftv44,0.987679155142067
EEBS (Proposed),ftv47,0.99304152637486
EEBS (Proposed),ry48p,0.991555885205683
EEBS (Proposed),ft53,0.993122741578273
EEBS (Proposed),ftv55,0.988299531981279
EEBS (Proposed),ftv64,0.986299187509957
EEBS (Proposed),ft70,0.964307772323896
EEBS (Proposed),ftv70,0.968636743797045
EEBS (Proposed),kro124p,0.960299678915448
EEBS (Proposed),ftv170,0.85260822314798
EEBS (Proposed),rbg323,0.77970827970828
EEBS (Proposed),rbg358,0.748776508972268
EEBS (Proposed),rbg403,0.743804956035172
EEBS (Proposed),rbg443,0.719842902562184
NTS,br17,1
NTS,ftv33,0.976091081593928
NTS,ftv35,0.95067264573991
NTS,ftv38,0.980019029495718
NTS,p43,0.995988049509176
NTS,ftv44,0.931103847120945
NTS,ftv47,0.892704826038159
NTS,ry48p,0.913847207166087
NTS,ft53,0.816295605548432
NTS,ftv55,0.845163806552262
NTS,ftv64,0.798948542297276
NTS,ft70,0.770210967720964
NTS,ftv70,0.968636743797045
NTS,kro124p,0.733193007491973
NTS,ftv170,0.587257743162471
NTS,rbg323,0.574002574002574
NTS,rbg358,0.564255936197209
NTS,rbg403,0.589928057553957
NTS,rbg443,0.570226295118758
