classifier_name,dataset_name,accuracy
DC,br17,1
DC,ftv33,0.960151803
DC,ftv35,0.9651604
DC,ftv38,0.954963527
DC,p43,0.999317115
DC,ftv44,0.973849635
DC,ftv47,0.927721661
DC,ry48p,0.960632168
DC,ft53,0.955530948
DC,ftv55,0.920631825
DC,ftv64,0.913015772
DC,ft70,0.841770862
DC,ftv70,0.912461667
DC,kro124p,0.853364253
DC,ftv170,0.735011773
DC,rbg323,0.721149721
DC,rbg358,0.680804785
DC,rbg403,0.686051159
DC,rbg443,0.674583879
FLC,br17,1
FLC,ftv33,0.966603416
FLC,ftv35,0.970679545
FLC,ftv38,0.971455756
FLC,p43,0.999317115
FLC,ftv44,0.955745537
FLC,ftv47,0.945454545
FLC,ry48p,0.982170366
FLC,ft53,0.933966663
FLC,ftv55,0.931942278
FLC,ftv64,0.914927513
FLC,ft70,0.85940473
FLC,ftv70,0.874128798
FLC,kro124p,0.856981805
FLC,ftv170,0.732113748
FLC,rbg323,0.7003432
FLC,rbg358,0.687148813
FLC,rbg403,0.690447642
FLC,rbg443,0.662427529
EBC,br17,1
EBC,ftv33,0.967362429
EBC,ftv35,0.973439117
EBC,ftv38,0.972090073
EBC,p43,0.999231754
EBC,ftv44,0.939904451
EBC,ftv47,0.936924804
EBC,ry48p,0.952758601
EBC,ft53,0.912693787
EBC,ftv55,0.949102964
EBC,ftv64,0.872550581
EBC,ft70,0.849789345
EBC,ftv70,0.884025648
EBC,kro124p,0.86906172
EBC,ftv170,0.737592827
EBC,rbg323,0.713642214
EBC,rbg358,0.698386804
EBC,rbg403,0.683653078
EBC,rbg443,0.676267066
AC,br17,1
AC,ftv33,0.970398482
AC,ftv35,0.970679545
AC,ftv38,0.96162385
AC,p43,0.999487836
AC,ftv44,0.942167463
AC,ftv47,0.936700337
AC,ry48p,0.955868089
AC,ft53,0.897249097
AC,ftv55,0.91224649
AC,ftv64,0.870798152
AC,ft70,0.84611987
AC,ftv70,0.850989685
AC,kro124p,0.839207991
AC,ftv170,0.689503713
AC,rbg323,0.668382668
AC,rbg358,0.654522385
AC,rbg403,0.648681055
AC,rbg443,0.631569104
SAC,br17,1
SAC,ftv33,0.973814042
SAC,ftv35,0.9651604
SAC,ftv38,0.973993023
SAC,p43,0.999146394
SAC,ftv44,0.934121197
SAC,ftv47,0.937822671
SAC,ry48p,0.944628288
SAC,ft53,0.937813265
SAC,ftv55,0.919266771
SAC,ftv64,0.889119006
SAC,ft70,0.846867355
SAC,ftv70,0.877613605
SAC,kro124p,0.855740278
SAC,ftv170,0.737230574
SAC,rbg323,0.734448734
SAC,rbg358,0.696574225
SAC,rbg403,0.698041567
SAC,rbg443,0.682999813
QLC,br17,1
QLC,ftv33,0.985958254
QLC,ftv35,0.959641256
QLC,ftv38,0.957183635
QLC,p43,0.999317115
QLC,ftv44,0.951722404
QLC,ftv47,0.953535354
QLC,ry48p,0.963627546
QLC,ft53,0.92161091
QLC,ftv55,0.909126365
QLC,ftv64,0.885773459
QLC,ft70,0.849551509
QLC,ftv70,0.884443825
QLC,kro124p,0.861405637
QLC,ftv170,0.738724869
QLC,rbg323,0.722436722
QLC,rbg358,0.703462026
QLC,rbg403,0.697442046
QLC,rbg443,0.673274733
MABC,br17,1
MABC,ftv33,0.976850095
MABC,ftv35,0.964470507
MABC,ftv38,0.956549318
MABC,p43,0.999743918
MABC,ftv44,0.926829268
MABC,ftv47,0.933782267
MABC,ry48p,0.967279055
MABC,ft53,0.919454482
MABC,ftv55,0.903471139
MABC,ftv64,0.902660507
MABC,ft70,0.872541094
MABC,ftv70,0.874965152
MABC,kro124p,0.867784517
MABC,ftv170,0.7598714
MABC,rbg323,0.72029172
MABC,rbg358,0.696936741
MABC,rbg403,0.709032774
MABC,rbg443,0.675706003
